N_hops,R_gc,R_gc_mean,azm,call_0,call_1,ecl_maxtime,ecl_maxtime_obs,lat_0,lat_1,lat_mid,lon_0,lon_1,lon_mid,n_spots,partial_end,partial_end_obs,partial_start,partial_start_obs,color
1,584.9095995992742,584.9095995992742,106.70437602350731,WE9V,N8PW,2017-08-21 18:24:00,0.777305,42.5625,40.8542,41.75653549911633,-88.0417,-81.375,-84.66400913362662,1398,2017-08-21 19:46:00,0.00285351,2017-08-21 17:00:00,0.00285351,#1f77b4
1,1062.3914006048888,1062.3914006048888,99.17850179624443,WE9V,AA3B,2017-08-21 18:30:00,0.739614,42.5625,40.3542,41.62558319690138,-88.0417,-75.625,-81.7272265163157,678,2017-08-21 19:50:00,0.0013495,2017-08-21 17:06:00,0.0013495,#ff7f0e
1,1105.5763034584536,1105.5763034584536,130.31532873768802,WE9V,KU4V,2017-08-21 18:32:00,0.836407,42.5625,35.7292,39.238811106088775,-88.0417,-78.7083,-83.14770443255965,414,2017-08-21 19:54:00,0.0022688,2017-08-21 17:04:00,0.0022688,#2ca02c
1,1707.1727174455468,1707.1727174455468,162.20137596363918,WE9V,AA2MF,2017-08-21 18:32:00,0.995712,42.5625,27.8125,35.215598138079635,-88.0417,-82.7917,-85.17696795873417,370,2017-08-21 19:58:00,0.00281777,2017-08-21 17:02:00,0.00281777,#d62728
1,1087.997583649354,1087.997583649354,98.49511313953772,WE9V,K3WW,2017-08-21 18:30:00,0.736158,42.5625,40.3958,41.6555212710332,-88.0417,-75.2917,-81.55968000643044,279,2017-08-21 19:50:00,0.000648044,2017-08-21 17:06:00,0.000648044,#9467bd
1,1153.484630686861,1153.484630686861,165.40418469816456,WE9V,K4BAI,2017-08-21 18:26:00,0.942755,42.5625,32.4792,37.53082515353314,-88.0417,-84.9583,-86.39553161644949,266,2017-08-21 19:52:00,6.21505e-06,2017-08-21 16:56:00,6.21505e-06,#8c564b
1,1215.2926303214092,1215.2926303214092,80.11814815540365,WE9V,W1SJ,2017-08-21 18:30:00,0.674287,42.5625,43.4792,43.26373112225225,-88.0417,-73.125,-80.63934664120262,265,2017-08-21 19:48:00,0.00115892,2017-08-21 17:08:00,0.00115892,#e377c2
1,572.7267090596223,572.7267090596223,86.2397049701157,WE9V,VE3MGY,2017-08-21 18:24:00,0.746181,42.5625,42.6875,42.67830432899122,-88.0417,-81.0417,-84.5452182004625,263,2017-08-21 19:44:00,0.00247215,2017-08-21 17:00:00,0.00247215,#7f7f7f
1,1338.1355887477948,1338.1355887477948,82.03979123278296,WE9V,K1BX,2017-08-21 18:32:00,0.668262,42.5625,43.0625,43.106744784835826,-88.0417,-71.625,-79.8667592900593,259,2017-08-21 19:48:00,0.00167427,2017-08-21 17:10:00,0.00167427,#bcbd22
1,716.3428839335295,716.3428839335295,128.63900965438341,WE9V,K8JQ,2017-08-21 18:26:00,0.819315,42.5625,38.3542,40.50268571159639,-88.0417,-81.625,-84.73271606214131,256,2017-08-21 19:48:00,0.00250406,2017-08-21 17:00:00,0.00250406,#17becf
